imagem,threshold_box,n_deteccoes,n_pequeno,n_medio,n_grande
imagem_web_2.jpg,50,4,0,3,1
imagem_web_2.jpg,60,3,0,2,1
imagem_web_3.jpg,0,10,1,6,3
imagem_web_3.jpg,15,10,1,6,3
imagem_web_3.jpg,20,10,1,6,3
imagem_web_3.jpg,25,9,0,6,3
imagem_web_3.jpg,30,8,0,5,3
imagem_web_3.jpg,40,7,0,4,3
imagem_web_3.jpg,50,6,0,3,3
imagem_web_3.jpg,60,6,0,3,3
imagem_web_3.jpg,0,10,1,6,3
imagem_web_3.jpg,15,10,1,6,3
imagem_web_3.jpg,20,10,1,6,3
imagem_web_3.jpg,25,9,0,6,3
imagem_web_3.jpg,30,8,0,5,3
imagem_web_3.jpg,40,7,0,4,3
imagem_web_3.jpg,50,6,0,3,3
imagem_web_3.jpg,60,6,0,3,3
imagem_web_4.jpg,0,11,0,0,11
imagem_web_4.jpg,15,11,0,0,11
imagem_web_4.jpg,20,11,0,0,11
imagem_web_4.jpg,25,11,0,0,11
imagem_web_4.jpg,30,11,0,0,11
imagem_web_4.jpg,40,11,0,0,11
imagem_web_4.jpg,50,11,0,0,11
imagem_web_4.jpg,60,11,0,0,11
imagem_web_4.jpg,0,11,0,0,11
imagem_web_4.jpg,15,11,0,0,11
imagem_web_4.jpg,20,11,0,0,11
imagem_web_4.jpg,25,11,0,0,11
imagem_web_4.jpg,30,11,0,0,11
imagem_web_4.jpg,40,11,0,0,11
imagem_web_4.jpg,50,11,0,0,11
imagem_web_4.jpg,60,11,0,0,11
imagem_web_5.jpg,0,3,1,1,1
imagem_web_5.jpg,15,3,1,1,1
imagem_web_5.jpg,20,2,0,1,1
imagem_web_5.jpg,25,2,0,1,1
imagem_web_5.jpg,30,2,0,1,1
imagem_web_5.jpg,40,2,0,1,1
imagem_web_5.jpg,50,1,0,0,1
imagem_web_5.jpg,60,0,0,0,0
imagem_web_5.jpg,0,3,1,1,1
imagem_web_5.jpg,15,3,1,1,1
imagem_web_5.jpg,20,2,0,1,1
imagem_web_5.jpg,25,2,0,1,1
imagem_web_5.jpg,30,2,0,1,1
imagem_web_5.jpg,40,2,0,1,1
imagem_web_5.jpg,50,1,0,0,1
imagem_web_5.jpg,60,0,0,0,0
imagem_web_6.jpeg,0,11,7,4,0
imagem_web_6.jpeg,15,9,5,4,0
imagem_web_6.jpeg,20,4,0,4,0
imagem_web_6.jpeg,25,3,0,3,0
imagem_web_6.jpeg,30,1,0,1,0
imagem_web_6.jpeg,40,0,0,0,0
imagem_web_6.jpeg,50,0,0,0,0
imagem_web_6.jpeg,60,0,0,0,0
imagem_web_6.jpeg,0,11,7,4,0
imagem_web_6.jpeg,15,9,5,4,0
imagem_web_6.jpeg,20,4,0,4,0
imagem_web_6.jpeg,25,3,0,3,0
imagem_web_6.jpeg,30,1,0,1,0
imagem_web_6.jpeg,40,0,0,0,0
imagem_web_6.jpeg,50,0,0,0,0
imagem_web_6.jpeg,60,0,0,0,0
imagem_web_7.jpg,0,2,0,2,0
imagem_web_7.jpg,15,2,0,2,0
imagem_web_7.jpg,20,2,0,2,0
imagem_web_7.jpg,25,2,0,2,0
imagem_web_7.jpg,30,1,0,1,0
imagem_web_7.jpg,40,0,0,0,0
imagem_web_7.jpg,50,0,0,0,0
imagem_web_7.jpg,60,0,0,0,0
imagem_web_7.jpg,0,2,0,2,0
imagem_web_7.jpg,15,2,0,2,0
imagem_web_7.jpg,20,2,0,2,0
imagem_web_7.jpg,25,2,0,2,0
imagem_web_7.jpg,30,1,0,1,0
imagem_web_7.jpg,40,0,0,0,0
imagem_web_7.jpg,50,0,0,0,0
imagem_web_7.jpg,60,0,0,0,0
imagem_web_8.jpg,0,10,2,5,3
imagem_web_8.jpg,15,10,2,5,3
imagem_web_8.jpg,20,9,1,5,3
imagem_web_8.jpg,25,7,0,4,3
imagem_web_8.jpg,30,6,0,3,3
imagem_web_8.jpg,40,4,0,1,3
imagem_web_8.jpg,50,4,0,1,3
imagem_web_8.jpg,60,4,0,1,3
imagem_web_8.jpg,0,10,2,5,3
imagem_web_8.jpg,15,10,2,5,3
imagem_web_8.jpg,20,9,1,5,3
imagem_web_8.jpg,25,7,0,4,3
imagem_web_8.jpg,30,6,0,3,3
imagem_web_8.jpg,40,4,0,1,3
imagem_web_8.jpg,50,4,0,1,3
imagem_web_8.jpg,60,4,0,1,3
imagem_web_9.jpg,0,20,17,3,0
imagem_web_9.jpg,15,9,6,3,0
imagem_web_9.jpg,20,4,1,3,0
imagem_web_9.jpg,25,0,0,0,0
imagem_web_9.jpg,30,0,0,0,0
imagem_web_9.jpg,40,0,0,0,0
imagem_web_9.jpg,50,0,0,0,0
imagem_web_9.jpg,60,0,0,0,0
imagem_web_9.jpg,0,20,17,3,0
imagem_web_9.jpg,15,9,6,3,0
imagem_web_9.jpg,20,4,1,3,0
imagem_web_9.jpg,25,0,0,0,0
imagem_web_9.jpg,30,0,0,0,0
imagem_web_9.jpg,40,0,0,0,0
imagem_web_9.jpg,50,0,0,0,0
imagem_web_9.jpg,60,0,0,0,0
