imagem,fator_luminancia,deteccoes_validas,confianca_media
DSCN7613.JPG,1.2,4,0.7588
DSCN7613.JPG,1.3,4,0.7604
DSCN7613.JPG,1.4,4,0.6817
DSCN7613.JPG,1.5,4,0.612
DSCN7614.JPG,0.1,1,0.4744
DSCN7614.JPG,0.2,3,0.5513
DSCN7614.JPG,0.3,2,0.7442
DSCN7614.JPG,0.4,2,0.7197
DSCN7614.JPG,0.5,2,0.662
DSCN7614.JPG,0.6,2,0.6055
DSCN7614.JPG,0.7,1,0.9441
DSCN7614.JPG,0.8,1,0.9427
DSCN7614.JPG,0.9,1,0.944
DSCN7614.JPG,1.0,1,0.9436
DSCN7614.JPG,1.1,1,0.944
DSCN7614.JPG,1.2,1,0.9397
DSCN7614.JPG,1.3,1,0.9381
DSCN7614.JPG,1.4,1,0.9364
DSCN7614.JPG,1.5,1,0.9336
DSCN7614.JPG,0.1,1,0.4744
DSCN7614.JPG,0.2,3,0.5513
DSCN7614.JPG,0.3,2,0.7442
DSCN7614.JPG,0.4,2,0.7197
DSCN7614.JPG,0.5,2,0.662
DSCN7614.JPG,0.6,2,0.6055
DSCN7614.JPG,0.7,1,0.9441
DSCN7614.JPG,0.8,1,0.9427
DSCN7614.JPG,0.9,1,0.944
DSCN7614.JPG,1.0,1,0.9436
DSCN7614.JPG,1.1,1,0.944
DSCN7614.JPG,1.2,1,0.9397
DSCN7614.JPG,1.3,1,0.9381
DSCN7614.JPG,1.4,1,0.9364
DSCN7614.JPG,1.5,1,0.9336
DSCN7615.JPG,0.1,4,0.4862
DSCN7615.JPG,0.2,3,0.5615
DSCN7615.JPG,0.3,4,0.5298
DSCN7615.JPG,0.4,5,0.5046
DSCN7615.JPG,0.5,4,0.5793
DSCN7615.JPG,0.6,4,0.59
DSCN7615.JPG,0.7,4,0.5817
DSCN7615.JPG,0.8,4,0.5774
DSCN7615.JPG,0.9,4,0.573
DSCN7615.JPG,1.0,4,0.5607
DSCN7615.JPG,1.1,4,0.5335
DSCN7615.JPG,1.2,4,0.5226
DSCN7615.JPG,1.3,4,0.5173
DSCN7615.JPG,1.4,4,0.5229
DSCN7615.JPG,1.5,4,0.5122
DSCN7615.JPG,0.1,4,0.4862
DSCN7615.JPG,0.2,3,0.5615
DSCN7615.JPG,0.3,4,0.5298
DSCN7615.JPG,0.4,5,0.5046
DSCN7615.JPG,0.5,4,0.5793
DSCN7615.JPG,0.6,4,0.59
DSCN7615.JPG,0.7,4,0.5817
DSCN7615.JPG,0.8,4,0.5774
DSCN7615.JPG,0.9,4,0.573
DSCN7615.JPG,1.0,4,0.5607
DSCN7615.JPG,1.1,4,0.5335
DSCN7615.JPG,1.2,4,0.5226
DSCN7615.JPG,1.3,4,0.5173
DSCN7615.JPG,1.4,4,0.5229
DSCN7615.JPG,1.5,4,0.5122
DSCN7621.JPG,0.1,6,0.5563
DSCN7621.JPG,0.2,8,0.5586
DSCN7621.JPG,0.3,8,0.5825
DSCN7621.JPG,0.4,11,0.5045
DSCN7621.JPG,0.5,10,0.539
DSCN7621.JPG,0.6,10,0.5793
DSCN7621.JPG,0.7,12,0.526
DSCN7621.JPG,0.8,12,0.5379
DSCN7621.JPG,0.9,13,0.5191
DSCN7621.JPG,1.0,13,0.5245
DSCN7621.JPG,1.1,12,0.5414
DSCN7621.JPG,1.2,13,0.5197
DSCN7621.JPG,1.3,11,0.5355
DSCN7621.JPG,1.4,11,0.5089
DSCN7621.JPG,1.5,7,0.5746
DSCN7621.JPG,0.1,6,0.5563
DSCN7621.JPG,0.2,8,0.5586
DSCN7621.JPG,0.3,8,0.5825
DSCN7621.JPG,0.4,11,0.5045
DSCN7621.JPG,0.5,10,0.539
DSCN7621.JPG,0.6,10,0.5793
DSCN7621.JPG,0.7,12,0.526
DSCN7621.JPG,0.8,12,0.5379
DSCN7621.JPG,0.9,13,0.5191
DSCN7621.JPG,1.0,13,0.5245
DSCN7621.JPG,1.1,12,0.5414
DSCN7621.JPG,1.2,13,0.5197
DSCN7621.JPG,1.3,11,0.5355
DSCN7621.JPG,1.4,11,0.5089
DSCN7621.JPG,1.5,7,0.5746
DSCN7622.JPG,0.1,4,0.6034
DSCN7622.JPG,0.2,8,0.6223
DSCN7622.JPG,0.3,7,0.7485
DSCN7622.JPG,0.4,7,0.7747
DSCN7622.JPG,0.5,7,0.785
DSCN7622.JPG,0.6,7,0.7853
